word,points
album,1
albumen,3
albumin,3
alcalde,3
alcazar,3
alchemist,3
alchemy,3
alcohol,2
alcoholic,2
alcoholism,3
alcove,3
aldehyde,3
alder,3
alderman,3
ale,3
aleatory,3
alee,3
alehouse,3
alembic,3
alert,3
aleut,3
aleutian,3
alewife,3
alexandria,3
alexandrian,3
alexandrine,3
alexia,3
alfalfa,3
alfresco,3
alga,3
algae,3
algal,3
algebra,3
algebraic,3
algebraist,3
algeria,3
algerian,3
algiers,3
algonquian,3
algonquin,3
algorithm,3
alhambra,3
alias,3
alibi,3
alien,3
alienable,3
alienate,3
alienation,3
alienist,3
alight,3
align,3
alignment,3
alike,2
aliment,3
alimentary,3
alimony,3
aline,3
alinement,3
aliquant,3
alit,3
alive,1
alizarin,3
alkali,3
alkaline,3
alkalinize,3
alkaloid,3
all,1
allah,3
allay,3
allegation,3
allege,3
alleged,3
allegedly,3
alleger,3
allegiance,3
allegorical,3
allegory,3
allegretto,3
allegro,3
allele,3
alleluia,3
allergic,2
allergist,3
allergy,3
alleviate,3
alleviation,3
alley,3
alleyway,3
allhallows,3
alliance,3
allied,3
alligator,3
alliterate,3
alliteration,3
alliterative,3
allocate,3
allocation,3
allopathy,3
allot,3
allotment,3
allotropy,3
allover,3
allow,1
allowable,3
allowance,2
alloy,3
allspice,3
allude,3
allure,3
allurement,3
alluring,3
allusion,3
allusive,3
alluvial,3
alluvium,3
ally,3
almanac,3
almandine,3
almighty,3
almond,3
almoner,3
almost,1
alms,3
almshouse,3
aloe,3
aloft,3
aloha,3
alone,1
along,1
alongshore,3
alongside,3
aloof,3
alopecia,3
aloud,2
alp,3
alpaca,3
alpenhorn,3
alpenstock,3
alpha,3
alphabet,2
alphabetical,3
alphabetically,3
alphabetize,3
alphanumeric,3
alpine,3
alps,3
already,1
alright,1
alsatian,3
also,1
altaic,3
altar,3
altarpiece,3
alter,3
alterable,3
alteration,3
altercation,3
alternate,3
alternately,3
alternating,3
alternation,3
alternative,2
alternator,3
although,1
altimeter,3
altitude,3
alto,3
altogether,2
altruism,3
altruist,3
altruistic,3
altruistically,3
alum,3
alumina,3
aluminise,3
aluminium,3
aluminize,3
aluminum,3
alumna,3
alumnae,3
alumni,3
alumnus,3
alveolar,3
always,1
alyssum,3
am,1
amah,3
amalgam,3
amalgamate,3
amalgamation,3
amanuensis,3
amaranth,3
amaranthine,3
amaryllis,3
amass,3
amateur,3
amateurish,3
amateurism,3
amative,3
amatory,3
amaze,3
amazed,2
amazement,3
amazing,2
amazon,3
amazonian,3
ambassador,3
ambassadorial,3
ambassadress,3
amber,3
ambergris,3
ambidexterity,3
ambidextrous,3
ambience,3
ambient,3
ambiguity,3
ambiguous,3
ambit,3
ambition,1
ambitious,2
ambitiously,3
ambivalence,3
ambivalent,3
ambivert,3
amble,3
ambrosia,3
ambrosial,3
ambulance,2
ambulant,3
ambulate,3
ambulatory,3
ambush,3
ameba,3
amebic,3
ameliorate,3
amelioration,3
amen,3
amenable,3
amend,3
amendment,3
amends,3
amenity,3
america,3
american,3
americana,3
americanism,3
americanization,3
americanize,3
americium,3
amerind,3
amethyst,3
amiability,3
amiable,3
amiably,3
amicability,3
amicable,3
amicably,3
amid,3
amide,3
amidships,3
amidst,3
amigo,3
amir,3
amish,3
amiss,3
amity,3
ammeter,3
ammo,3
ammonia,3
ammonite,3
ammonium,3
ammunition,3
amnesia,3
amnesty,3
amniocentesis,3
amoeba,3
amoebic,3
amoeboid,3
amok,3
among,1
amongst,3
amoral,3
amorality,3
amorous,3
amorphous,3
amortise,3
amortize,3
amount,2
amour,3
amperage,3
ampere,3
ampersand,3
amphetamine,3
amphibian,3
amphibious,3
amphibole,3
amphitheater,3
amphitheatre,3
amphora,3
ampicillin,3
ample,3
amplification,3
amplifier,3
amplify,3
amplitude,3
amply,3
ampule,3
amputate,3
amputation,3
amputee,3
amsterdam,3
amtrak,3
amuck,3
amulet,3
amuse,3
amused,1
amusement,1
amusing,2
amusingly,3
amylase,3
an,1
anabolism,3
anachronism,3
anachronistic,3
anaconda,3
anadem,3
anaemia,3
anaemic,3
anaerobe,3
anaerobic,3
anaesthesia,3
anaesthetic,3
anaesthetist,3
anagram,3
anal,3
analgesia,3
analgesic,3
analog,3
analogize,3
analogous,3
analogue,3
analogy,3
analysand,3
analyse,3
analysis,2
analyst,3
analytic,3
analytical,3
analyze,2
anapaest,3
anapest,3
anapestic,3
anarchic,3
